model,parameters_b,quantization,profile,tasks,functional_passes,functional_pass_at_1,syntax_passes,syntax_rate,compile_passes,compile_rate,strict_gbnf_passes,strict_gbnf_rate,normalized_gbnf_passes,normalized_gbnf_rate,fence_outputs,fence_rate,token_limit_outputs,token_limit_rate,prompt_tokens_mean,output_tokens_mean,output_tokens_p50,output_tokens_p95,prompt_eval_ms_mean,generation_ms_mean,generation_ms_p50,generation_ms_p95,generation_ms_max,server_ms_mean,aggregate_generation_tokens_per_second,mean_run_tokens_per_second,weighted_argmax_rejection_rate,server_ms_per_correct,correct_programs_per_server_minute
qwen2.5-coder-0.5b-instruct-control-q4_k_m,0.63017,Q4_K_M,deal-raw,800,283,0.35375,539,0.67375,383,0.47875,0,0.0,523,0.65375,800,1.0,0,0.0,618.33,62.72125,63.0,118.0,113.60880625,282.2486825,283.847,557.2384,812.728,395.85748875,222.21981496760432,223.20950269511985,0.0,1119.0317703180217,53.61778064884465
qwen2.5-coder-0.5b-instruct-control-q4_k_m,0.63017,Q4_K_M,deal-constrained,800,422,0.5275,786,0.9825,571,0.71375,786,0.9825,786,0.9825,0,0.0,16,0.02,618.33,53.27125,45.0,97.0,126.83444375,790.6405925,342.4935,1850.2149499999996,11663.998,917.47503625,67.37732732840932,126.91782732682836,0.03390665696787667,1739.2891682464453,34.49685141228822
